elevasi;volume;area;;;;;;;;;;
228.57;2.104.971.20;2.308.912.06;;;;;;;;;;
228.58;2.128.153.96;2.327.640.54;;;;;;;;;;
228.59;2.151.524.01;2.346.369.01;;;;;;;;;;
228.60;2.175.081.34;2.365.097.49;;;;;;;;;;
228.61;2.198.825.96;2.383.825.97;;;;;;;;;;
228.62;2.222.757.86;2.402.554.44;;;;;;;;;;
228.63;2.246.877.05;2.421.282.92;;;;;;;;;;
228.64;2.271.183.52;2.440.011.40;;;;;;;;;;
228.65;2.295.677.28;2.458.739.87;;;;;;;;;;
228.66;2.320.358.32;2.477.468.35;;;;;;;;;;
228.67;2.345.226.65;2.496.196.83;;;;;;;;;;
228.68;2.370.282.26;2.514.925.30;;;;;;;;;;
228.69;2.395.525.15;2.533.653.78;;;;;;;;;;
228.70;2.420.955.33;2.552.382.25;;;;;;;;;;
228.71;2.446.572.80;2.571.110.73;;;;;;;;;;
228.72;2.472.377.55;2.589.839.21;;;;;;;;;;
228.73;2.498.369.58;2.608.567.68;;;;;;;;;;
228.74;2.524.548.90;2.627.296.16;;;;;;;;;;
228.75;2.550.915.50;2.646.024.64;;;;;;;;;;
228.76;2.577.469.39;2.664.753.11;;;;;;;;;;
228.77;2.604.210.57;2.683.481.59;;;;;;;;;;
228.78;2.631.139.02;2.702.210.07;;;;;;;;;;
228.79;2.658.254.77;2.720.938.54;;;;;;;;;;
228.80;2.685.557.80;2.739.667.02;;;;;;;;;;
228.81;2.713.048.11;2.758.395.50;;;;;;;;;;
228.82;2.740.725.70;2.777.123.97;;;;;;;;;;
228.83;2.768.590.59;2.795.852.45;;;;;;;;;;
228.84;2.796.642.75;2.814.580.93;;;;;;;;;;
228.85;2.824.882.21;2.833.309.40;;;;;;;;;;
228.86;2.853.308.94;2.852.037.88;;;;;;;;;;
228.87;2.881.922.96;2.870.766.35;;;;;;;;;;
228.88;2.910.724.27;2.889.494.83;;;;;;;;;;
228.89;2.939.712.86;2.908.223.31;;;;;;;;;;
